#Software: Microsoft Internet Information Services 5.1
#Version: 1.0
#Date: 2005-07-04 07:24:04
#Fields: time c-ip cs-method cs-uri-stem sc-status 
07:24:04 172.30.3.103 OPTIONS / 200
07:24:04 172.30.3.103 PROPFIND /primus 207
07:24:04 172.30.3.103 PROPFIND /primus 207
07:24:04 172.30.3.103 PROPFIND /primus/SCS9188_WZC.bmp 207
07:24:19 172.30.3.103 GET /primus/SCS9188_WZC.bmp 200
07:24:43 172.30.3.103 PROPFIND /primus 207
07:24:43 172.30.3.103 PROPFIND /primus 207
07:24:43 172.30.3.103 PROPFIND /primus/SCS9188_WZC.bmp 207
07:25:01 172.30.3.103 PROPFIND /primus 207
07:25:01 172.30.3.103 PROPFIND /primus 207
07:25:01 172.30.3.103 PROPFIND /primus/SCS9188_WZC.bmp 207
